1,United States/Canada
7,Russia
20,Egypt
27,South Africa
30,Greece
31,Netherlands
32,Belgium
33,France
34,Spain
36,Hungary
39,Italy
40,Romania
41,Switzerland
43,Austria
44,United Kingdom
45,Denmark
46,Sweden
47,Norway
48,Poland
49,Germany
51,Peru
52,Mexico
53,Cuba
54,Argentina
55,Brazil
56,Chile
57,Colombia
58,Venezuela
60,Malaysia
61,Australia
62,Indonesia
63,Philippines
64,New Zealand/ Pitcairn Islands
65,Singapore
66,Thailand
76,Kazakhstan
77,Kazakhstan
81,Japan
82,Korea
84,Vietnam
86,China
90,Turkey
91,India
92,Pakistan
93,Afghanistan
94,Sri Lanka
95,Myanmar
98,Iran
211,South Sudan
212,Morocco
213,Algeria
216,Tunisia
218,Libya
220,Gambia
221,Senegal
222,Mauritania
223,Mali
224,Guinea
225,Ivory Coast
226,Burkina Faso
227,Niger
228,Togo
229,Benin
230,Mauritius
231,Liberia
232,Sierra Leone
233,Ghana
234,Nigeria
235,Chad
236,Central African Republic
237,Cameroon
238,Cape Verde
239,São Tomé and Príncipe
240,Equatorial Guinea
241,Gabon
242,Congo
243,Congo
244,Angola
245,Guinea-Bissau
246,British Indian Ocean Territory
247,Ascension
248,Seychelles
249,Sudan
250,Rwanda
251,Ethiopia
252,Somalia
253,Djibouti
254,Kenya
255,Tanzania
256,Uganda
257,Burundi
258,Mozambique
260,Zambia
261,Madagascar
262,Réunion
263,Zimbabwe
264,Namibia
265,Malawi
266,Lesotho
267,Botswana
268,Swaziland
269,Comoros
290,Saint Helena
291,Eritrea
297,Aruba
298,Faroe Islands
299,Greenland
350,Gibraltar
351,Portugal
352,Luxembourg
353,Ireland
354,Iceland
355,Albania
356,Malta
357,Cyprus
358,Finland
359,Bulgaria
370,Lithuania
371,Latvia
372,Estonia
373,Moldova
374,Armenia
375,Belarus
376,Andorra
377,Monaco
378,San Marino
379,Vatican City State (Holy See)
380,Ukraine
381,Serbia
382,Montenegro
383,Kosovo (Dardania)
385,Croatia
386,Slovenia
387,Bosnia and Herzegovina
389,Macedonia
420,Czech Republic
421,Slovakia
423,Liechtenstein
500,Falkland Islands/ South Georgia and the South Sandwich Islands
501,Belize
502,Guatemala
503,El Salvador
504,Honduras
505,Nicaragua
506,Costa Rica
507,Panama
508,Saint Pierre and Miquelon
509,Haiti
590,Guadeloupe/Saint Barthélemy/Saint Martin (France)
591,Bolivia
592,Guyana
593,Ecuador
594,French Guiana
595,Paraguay
596,French Antilles/Martinique
597,Suriname
598,Uruguay
670,East Timor
672,Australian External Territories
673,Brunei Darussalam
674,Nauru
675,Papua New Guinea
676,Tonga
677,Solomon Islands
678,Vanuatu
679,Fiji
680,Palau
681,Wallis and Futuna
682,Cook Islands
683,Niue
685,Samoa
686,Kiribati
687,New Caledonia
688,Tuvalu
689,French Polynesia
690,Tokelau
691,Micronesia
692,Marshall Islands
800,International Freephone Service (UIFN)
808,International Shared Cost Service (ISCS)
850,Korea
852,Hong Kong
853,Macau
855,Cambodia
856,Laos
870,Inmarsat SNAC
878,Universal Personal Telecommunications (UPT)
880,Bangladesh
881,Global Mobile Satellite System (GMSS)
882,International Networks
883,International Networks
886,Taiwan
888,Telecommunications for Disaster Relief by OCHA
960,Maldives
961,Lebanon
962,Jordan
963,Syria
964,Iraq
965,Kuwait
966,Saudi Arabia
967,Yemen
968,Oman
970,Palestine
971,United Arab Emirates
972,Israel
973,Bahrain
974,Qatar
975,Bhutan
976,Mongolia
977,Nepal
979,International Premium Rate Service
992,Tajikistan
993,Turkmenistan
994,Azerbaijan
995,Georgia
996,Kyrgyzstan
998,Uzbekistan
1242,Bahamas
1246,Barbados
1264,Anguilla
1268,Antigua and Barbuda
1284,British Virgin Islands
1340,US Virgin Islands
1345,Cayman Islands
1441,Bermuda
1473,Grenada
1649,Turks and Caicos Islands
1664,Montserrat
1670,Northern Mariana Islands
1671,Guam
1684,American Samoa
1721,Sint Maarten (Netherlands)
1758,Saint Lucia
1767,Dominica
1784,Saint Vincent and the Grenadines
1787,Puerto Rico
1808,Midway Island
1809,Dominican Republic
1829,Dominican Republic
1849,Dominican Republic
1868,Trinidad and Tobago
1869,Nevis/Saint Kitts and Nevis
1876,Jamaica
1939,Puerto Rico
2908,Tristan da Cunha
3732,Transnistria
3735,Transnistria
4428,Northern Ireland
4779,Jan Mayen/Svalbard
5993,Caribbean Netherlands/Sint Eustatius
5994,Caribbean Netherlands/Saba
5997,Caribbean Netherlands/Bonaire
5999,Curaçao
6721,Australian Antarctic Territory
6723,Norfolk Island
8810,ICO Global (Mobile Satellite Service)
8811,ICO Global (Mobile Satellite Service)
8812,Ellipso (Mobile Satellite service)
8813,Ellipso (Mobile Satellite service)
8816,Iridium (Mobile Satellite service)
8817,Iridium (Mobile Satellite service)
8818,Globalstar (Mobile Satellite Service)
8819,Globalstar (Mobile Satellite Service)
25524,Zanzibar
35818,Åland Islands
37447,Nagorno-Karabakh
37497,Nagorno-Karabakh
